name	gender	region	1920	1925	1930	1935	1940	1945	1950	1955	1960	1965	1970	1975	1980	1985	1990	1995	2000	2005	2010	2015	2020
TEO	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92
ELIASS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95
MARKUS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
ARTIS	boys	latvia	0	0	0	0	0	0	0	0	0	53	46	63	56	30	36	31	29	45	65	70	0
RAIVO	boys	latvia	0	0	0	0	0	0	0	0	0	0	62	87	0	0	0	0	72	70	60	89	0
AGRIS	boys	latvia	0	0	0	0	100	82	66	37	30	24	28	46	51	57	82	79	0	0	0	0	0
AIGARS	boys	latvia	0	0	0	0	0	0	0	76	20	10	9	16	20	27	34	44	69	0	0	0	0
AINARS	boys	latvia	0	0	0	0	0	0	0	0	56	45	67	0	0	0	0	0	0	0	0	0	0
AINĀRS	boys	latvia	0	0	0	0	0	0	0	0	39	17	24	40	59	78	84	0	0	0	0	0	0
AINIS	boys	latvia	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0
AIVARS	boys	latvia	0	0	90	16	8	11	8	2	2	7	14	25	30	42	79	87	0	0	0	0	0
AIVIS	boys	latvia	0	0	0	0	0	0	0	0	0	0	66	74	75	86	78	71	77	0	0	0	0
ALDIS	boys	latvia	0	0	0	0	41	53	45	29	22	19	21	33	64	85	98	0	0	0	0	0	0
ALEKSIS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	51	62	0	0
ALENS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	94	0	0	0
ALFONS	boys	latvia	53	43	52	63	86	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALFREDS	boys	latvia	51	50	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALFRĒDS	boys	latvia	15	20	25	40	52	59	86	100	0	0	0	0	0	0	0	0	0	0	0	0	0
ALOIZS	boys	latvia	67	66	71	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALVIS	boys	latvia	0	0	0	0	0	0	0	0	0	0	85	0	0	99	95	69	0	0	0	0	0
ANATOLIJS	boys	latvia	74	75	61	45	37	21	9	13	19	35	43	61	71	80	0	0	0	0	0	0	0
ANDIS	boys	latvia	0	0	0	0	0	0	0	97	45	29	35	50	42	47	59	77	0	0	0	0	0
ANDRIS	boys	latvia	0	0	0	32	4	4	7	7	4	2	2	5	5	10	11	15	33	59	76	0	0
ANSIS	boys	latvia	63	73	0	92	68	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANTONS	boys	latvia	4	3	5	5	14	17	27	41	62	90	0	0	0	79	69	61	85	93	0	0	0
ARKĀDIJS	boys	latvia	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARNIS	boys	latvia	0	0	96	47	57	52	51	42	26	26	27	43	60	64	58	82	0	0	0	0	0
ARNOLDS	boys	latvia	11	8	16	27	35	37	56	86	100	0	0	0	0	0	0	97	0	0	0	0	0
ARSENIJS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	83	0
ERVĪNS	boys	latvia	0	0	0	0	0	0	0	0	0	100	0	98	0	0	0	0	0	0	0	0	0
ĒVALDS	boys	latvia	59	58	65	67	50	72	78	94	93	0	0	0	0	0	0	0	0	0	0	0	0
FJODORS	boys	latvia	62	74	81	77	72	73	75	84	0	0	0	0	0	0	0	0	0	0	0	0	0
FRANCIS	boys	latvia	35	45	56	85	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FRICIS	boys	latvia	24	40	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GATIS	boys	latvia	0	0	0	0	0	0	0	0	0	68	64	28	14	16	27	43	91	0	0	0	0
GENADIJS	boys	latvia	0	0	0	0	0	0	73	57	51	67	91	0	0	0	0	0	0	0	0	0	0
GENĀDIJS	boys	latvia	0	0	0	0	0	0	67	50	46	50	58	85	0	0	0	0	0	0	0	0	0
GEORGIJS	boys	latvia	80	92	70	53	54	47	58	66	92	0	0	0	0	0	0	0	0	0	0	0	0
GINTS	boys	latvia	0	0	0	0	0	0	0	0	99	42	34	34	43	65	65	75	98	0	0	0	0
GĻEBS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	86	88	0
GRIGORIJS	boys	latvia	52	65	54	62	58	63	65	77	80	0	0	0	0	0	0	0	0	0	0	0	0
GUNĀRS	boys	latvia	0	18	3	3	5	8	12	15	24	37	57	82	94	0	0	0	0	0	0	0	0
GUNDARS	boys	latvia	0	0	0	0	0	0	0	0	68	49	56	73	0	0	0	0	0	0	0	0	0
GUNTARS	boys	latvia	0	0	0	0	0	0	95	59	38	27	25	31	52	70	94	0	0	0	0	0	0
GUNTIS	boys	latvia	0	0	99	44	43	32	29	19	16	18	23	35	53	48	77	0	0	0	0	0	0
ĢIRTS	boys	latvia	0	0	0	0	0	0	0	0	0	76	47	26	34	58	57	70	87	0	0	0	0
HARIJS	boys	latvia	57	30	23	30	34	36	39	51	69	86	0	0	0	0	0	0	0	0	0	0	0
HELMUTS	boys	latvia	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HERBERTS	boys	latvia	65	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGNATS	boys	latvia	73	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGORS	boys	latvia	0	0	0	0	0	70	38	21	9	3	6	8	11	13	14	41	52	77	0	0	0
MĀRIS	boys	latvia	0	0	0	96	28	19	17	20	13	9	8	6	6	11	15	29	60	79	94	98	0
MIERVALDIS	boys	latvia	81	90	80	91	89	80	80	96	0	0	0	0	0	0	0	0	0	0	0	0	0
MIKUS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	86	100	0	0
MODRIS	boys	latvia	0	0	83	57	46	41	37	31	37	48	70	93	0	0	0	0	0	0	0	0	0
NAURIS	boys	latvia	0	0	0	0	0	0	0	0	0	0	86	88	77	68	43	45	79	0	0	0	0
NIKOLAJS	boys	latvia	14	14	15	19	18	14	10	10	17	28	41	47	41	36	63	78	94	0	0	0	0
NILS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	73	75	0	0
NORMUNDS	boys	latvia	0	0	0	0	0	0	0	0	27	11	11	22	36	71	85	91	0	0	0	0	0
OJĀRS	boys	latvia	0	88	35	38	53	48	64	70	77	89	0	0	0	0	0	0	0	0	0	0	0
OĻEGS	boys	latvia	0	0	0	0	0	75	36	30	23	16	10	13	17	20	32	55	57	0	0	0	0
OĻĢERTS	boys	latvia	72	48	44	74	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OSVALDS	boys	latvia	42	38	47	64	59	86	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTTO	boys	latvia	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAULIS	boys	latvia	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PĀVELS	boys	latvia	38	47	36	42	48	39	50	47	53	55	60	49	31	26	29	50	56	82	0	0	0
PJOTRS	boys	latvia	75	89	85	78	73	68	54	65	67	83	0	0	0	0	0	0	0	0	0	0	0
VILIS	boys	latvia	21	22	33	39	31	38	59	74	94	91	0	0	0	0	0	0	0	0	0	0	0
VILNIS	boys	latvia	0	84	38	29	16	15	24	26	25	30	51	72	91	0	0	0	0	0	0	0	0
VISVALDIS	boys	latvia	48	39	32	35	47	62	81	88	0	0	0	0	0	0	0	0	0	0	0	0	0
VITĀLIJS	boys	latvia	86	83	62	41	44	49	44	40	40	41	20	20	16	15	19	46	89	0	0	0	0
VITOLDS	boys	latvia	91	82	66	55	64	67	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VJAČESLAVS	boys	latvia	0	0	0	0	0	0	53	55	57	51	42	38	45	49	73	0	0	0	0	0	0
VLADIMIRS	boys	latvia	28	27	30	37	29	5	2	4	7	14	13	17	18	21	30	58	64	83	83	79	0
VLADISLAVS	boys	latvia	17	17	13	20	25	29	30	34	47	57	44	36	40	43	31	10	16	27	48	69	0
VOLDEMĀRS	boys	latvia	9	11	17	24	22	23	28	33	55	85	0	0	0	0	0	0	0	0	0	0	0
ZIEDONIS	boys	latvia	0	0	86	70	56	66	61	64	64	80	0	0	0	0	0	0	0	0	0	0	0
ZIGFRĪDS	boys	latvia	0	49	40	65	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZIGMĀRS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0
ZIGMUNDS	boys	latvia	0	0	93	98	0	0	89	85	91	77	100	0	0	0	0	0	0	0	0	0	0
ZIGURDS	boys	latvia	0	85	43	43	55	65	76	68	76	93	0	0	0	0	0	0	0	0	0	0	0
ŽANIS	boys	latvia	20	24	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ĀDAMS	boys	latvia	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ĀDOLFS	boys	latvia	30	44	50	61	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
