name	gender	region	1920	1925	1930	1935	1940	1945	1950	1955	1960	1965	1970	1975	1980	1985	1990	1995	2000	2005	2010	2015	2020
MELĀNIJA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	54	31	19
MELISA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	38
SOFIJA	girls	latvia	40	56	78	85	0	0	0	0	0	0	0	0	0	0	0	0	50	16	1	1	1
STEFĀNIJA	girls	latvia	52	73	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	61
ŠARLOTE	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	61	46
VANESA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	70	68	90	74
VERONIKA	girls	latvia	7	10	13	20	31	45	62	78	0	0	0	0	84	76	64	37	31	28	30	35	41
VIKTORIJA	girls	latvia	50	55	58	58	66	78	79	71	98	93	74	42	32	26	11	7	3	2	2	6	14
VARVARA	girls	latvia	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92
AMINA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95
VASILISA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94
GRIETA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90
ANNIKA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	98
ELEONORA	girls	latvia	39	39	41	61	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99
EMILIJA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
JEKATERINA	girls	latvia	55	62	73	76	92	0	92	0	0	0	0	53	30	12	16	18	26	40	49	57	0
POĻINA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	63	52	70	0
SABĪNE	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	22	28	42	45	59	0
VALĒRIJA	girls	latvia	0	86	84	97	0	0	0	0	0	0	0	0	0	0	88	28	24	32	46	53	0
ALLA	girls	latvia	0	0	0	0	0	0	65	58	29	25	34	49	55	79	0	0	0	0	0	0	0
ALMA	girls	latvia	14	26	48	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALVĪNE	girls	latvia	70	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AĻONA	girls	latvia	0	0	0	0	0	0	0	0	0	0	84	48	42	41	49	80	87	0	0	0	0
ANDA	girls	latvia	0	0	0	0	0	0	0	82	70	50	58	62	62	59	81	86	0	0	0	0	0
ANDRA	girls	latvia	0	0	0	0	0	0	0	0	0	99	79	98	0	0	0	0	0	0	0	0	0
ANGELINA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	99	98	0
ANITA	girls	latvia	0	0	0	86	30	17	7	2	3	9	15	26	37	45	58	76	0	0	0	0	0
ANTONIJA	girls	latvia	60	63	71	80	87	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANTOŅINA	girls	latvia	9	8	10	10	23	34	36	47	60	98	0	0	0	0	0	0	0	0	0	0	0
ANTRA	girls	latvia	0	0	0	0	0	0	0	0	62	34	48	74	93	95	0	0	0	0	0	0	0
ANŽELA	girls	latvia	0	0	0	0	0	0	0	0	0	0	60	89	0	0	0	0	0	0	0	0	0
ANŽELIKA	girls	latvia	0	0	0	0	0	0	0	0	0	0	61	92	0	0	0	0	84	90	0	0	0
